id,label,timeset,state,totalMig,totalNonMig,population,unemployment
5145,White County,,AR,4346,64809,69155,6.3
5147,Woodruff County,,AR,567,7335,7902,9.5
5149,Yell County,,AR,1772,19863,21635,5.2
6001,Alameda County,,CA,130671,1537961,1668632,6.9
6003,Alpine County,,CA,165,1010,1175,8.4
6005,Amador County,,CA,2309,36346,38655,6.2
6007,Butte County,,CA,11866,198386,210252,7.6
6009,Calaveras County,,CA,3258,44840,48098,7.4
6011,Colusa County,,CA,1169,21430,22599,14.4
6013,Contra Costa County,,CA,73802,1073330,1147132,6.1
6015,Del Norte County,,CA,1524,21655,23179,8.5
6017,El Dorado County,,CA,13442,178953,192395,5.6
6019,Fresno County,,CA,31748,844860,876608,11.8
6021,Glenn County,,CA,1822,28363,30185,10.3
6023,Humboldt County,,CA,7416,125368,132784,6.9
6025,Imperial County,,CA,8409,176659,185068,15.6
6027,Inyo County,,CA,1508,20354,21862,5.8
6029,Kern County,,CA,28653,692491,721144,10.3
6031,Kings County,,CA,9732,118987,128719,12.0
6033,Lake County,,CA,3940,54560,58500,9.2
6035,Lassen County,,CA,2081,26200,28281,7.7
6037,Los Angeles County,,CA,388783,10005539,10394322,7.0
6039,Madera County,,CA,7255,118802,126057,10.3
6041,Marin County,,CA,19633,246910,266543,4.9
6043,Mariposa County,,CA,1431,17224,18655,6.9
6045,Mendocino County,,CA,4926,89534,94460,6.9
6047,Merced County,,CA,13498,224693,238191,11.5
6049,Modoc County,,CA,706,8715,9421,8.7
6051,Mono County,,CA,1564,11313,12877,5.1
6053,Monterey County,,CA,33010,419649,452659,9.0
6055,Napa County,,CA,10800,145615,156415,4.9
6057,Nevada County,,CA,7630,104747,112377,5.6
6059,Orange County,,CA,180851,3145265,3326116,4.8
6061,Placer County,,CA,24777,315095,339872,5.1
6063,Plumas County,,CA,1589,21729,23318,9.9
6065,Riverside County,,CA,102917,1764199,1867116,6.5
6067,Sacramento County,,CA,79636,1391951,1471587,5.9
6069,San Benito County,,CA,5613,59584,65197,10.0
6071,San Bernardino County,,CA,118121,1841101,1959222,6.3
6073,San Diego County,,CA,195142,3155939,3351081,5.2
6075,San Francisco County,,CA,84119,800029,884148,6.7
6077,San Joaquin County,,CA,35601,630064,665665,9.2
6079,San Luis Obispo County,,CA,16327,250657,266984,4.7
6081,San Mateo County,,CA,68284,768369,836653,5.8
6083,Santa Barbara County,,CA,29503,409968,439471,5.1
6085,Santa Clara County,,CA,126776,1873526,2000302,8.3
6087,Santa Cruz County,,CA,18669,265741,284410,7.8
6089,Shasta County,,CA,9671,178057,187728,7.6
6091,Sierra County,,CA,333,3265,3598,9.4
6093,Siskiyou County,,CA,2777,43618,46395,9.5
6095,Solano County,,CA,35995,426542,462537,6.3
6097,Sonoma County,,CA,27512,507080,534592,5.5
6099,Stanislaus County,,CA,27550,501350,528900,9.9
6101,Sutter County,,CA,6688,85850,92538,11.2
6103,Tehama County,,CA,3078,50801,53879,7.7
6105,Trinity County,,CA,789,11216,12005,10.5
6107,Tulare County,,CA,14839,377749,392588,12.3
6109,Tuolumne County,,CA,3450,55791,59241,7.0
6111,Ventura County,,CA,48456,850347,898803,5.8
6113,Yolo County,,CA,17007,174402,191409,6.4
6115,Yuba County,,CA,7495,57268,64763,10.7
8001,Adams County,,CO,46004,403035,449039,7.2
8003,Alamosa County,,CO,1443,14710,16153,5.9
8005,Arapahoe County,,CO,68523,557585,626108,6.3
8007,Archuleta County,,CO,1069,10553,11622,5.9
8009,Baca County,,CO,247,4443,4690,3.8
8011,Bent County,,CO,436,5397,5833,7.8
8013,Boulder County,,CO,30130,296419,326549,5.8
8014,Broomfield County,,CO,7374,43911,51285,6.4
8015,Chaffee County,,CO,1588,17046,18634,5.8
8017,Cheyenne County,,CO,188,2174,2362,3.5
8019,Clear Creek County,,CO,1636,11878,13514,5.7
8021,Conejos County,,CO,467,7899,8366,7.1
8023,Costilla County,,CO,220,3374,3594,10.4
8025,Crowley County,,CO,337,3374,3711,8.8
8027,Custer County,,CO,432,3776,4208,5.2
8029,Delta County,,CO,2126,29376,31502,6.0
8031,Denver County,,CO,80747,521799,602546,7.2
8033,Dolores County,,CO,196,1911,2107,8.4
8035,Douglas County,,CO,24981,246606,271587,5.3
8037,Eagle County,,CO,5754,46922,52676,4.8
8039,Elbert County,,CO,2036,18879,20915,5.6
8041,El Paso County,,CO,51277,600805,652082,6.3
8043,Fremont County,,CO,3232,39732,42964,7.6
8045,Garfield County,,CO,4303,43842,48145,5.0
8047,Gilpin County,,CO,700,4937,5637,5.9
8049,Grand County,,CO,1611,13172,14783,4.2
8051,Gunnison County,,CO,1471,13117,14588,4.8
8053,Hinsdale County,,CO,95,761,856,4.3
8055,Huerfano County,,CO,643,6278,6921,8.6
8057,Jackson County,,CO,193,1588,1781,5.2
8059,Jefferson County,,CO,58523,561048,619571,5.9
8061,Kiowa County,,CO,174,1858,2032,5.3
8063,Kit Carson County,,CO,675,8422,9097,4.4
8065,Lake County,,CO,811,6575,7386,6.2
8067,La Plata County,,CO,4322,45774,50096,4.5
8069,Larimer County,,CO,24110,286244,310354,5.1
8071,Las Animas County,,CO,1328,14900,16228,6.1
8073,Lincoln County,,CO,461,4701,5162,4.5
8075,Logan County,,CO,1593,22182,23775,4.3
8077,Mesa County,,CO,7655,134279,141934,5.6
8079,Mineral County,,CO,75,844,919,5.1
8081,Moffat County,,CO,1163,14164,15327,5.9
8083,Montezuma County,,CO,1934,23949,25883,5.9
8085,Montrose County,,CO,2718,36928,39646,5.9
8087,Morgan County,,CO,2133,29088,31221,4.8
8089,Otero County,,CO,1340,19732,21072,6.6
8091,Ouray County,,CO,380,3422,3802,4.5
8093,Park County,,CO,2175,16179,18354,5.5
8095,Phillips County,,CO,294,4488,4782,3.9
8097,Pitkin County,,CO,1816,12542,14358,5.3
8099,Prowers County,,CO,1118,13517,14635,5.1
8101,Pueblo County,,CO,7490,152972,160462,7.5
8103,Rio Blanco County,,CO,614,6206,6820,4.0
8105,Rio Grande County,,CO,1113,16429,17542,6.0
8107,Routt County,,CO,2170,20937,23107,4.6
8109,Saguache County,,CO,272,2342,2614,6.9
8111,San Juan County,,CO,74,629,703,6.5
8113,San Miguel County,,CO,942,6237,7179,5.6
8115,Sedgwick County,,CO,258,2698,2956,4.4
8117,Summit County,,CO,4719,25429,30148,4.9
8119,Teller County,,CO,2651,21197,23848,6.3
8121,Washington County,,CO,371,3959,4330,3.6
8123,Weld County,,CO,16043,209582,225625,5.9
8125,Yuma County,,CO,772,10062,10834,3.1
9001,Fairfield County,,CT,52413,987203,1039616,5.0
9003,Hartford County,,CT,43005,1025840,1068845,6.1
9005,Litchfield County,,CT,11259,223895,235154,5.1
9007,Middlesex County,,CT,12535,193675,206210,4.8
9009,New Haven County,,CT,42949,947637,990586,5.9
9011,New London County,,CT,19482,306768,326250,4.9
9013,Tolland County,,CT,10453,155684,166137,4.4
9015,Windham County,,CT,7008,129173,136181,6.0
10001,Kent County,,DE,9021,154844,163865,4.2
10003,New Castle County,,DE,27719,588142,615861,4.3
10005,Sussex County,,DE,8334,187245,195579,3.7
11001,District of Columbia,,DC,63409,547056,610465,7.0
12001,Alachua County,,FL,20623,211675,232298,3.6
12003,Baker County,,FL,1549,23385,24934,4.7
12005,Bay County,,FL,13580,168806,182386,5.2
12007,Bradford County,,FL,1724,23110,24834,4.0
12009,Brevard County,,FL,28056,562402,590458,5.2
12011,Broward County,,FL,125944,1798714,1924658,5.4
12013,Calhoun County,,FL,750,10896,11646,4.8
12015,Charlotte County,,FL,12172,155554,167726,5.4
12017,Citrus County,,FL,7787,128268,136055,6.2
12019,Clay County,,FL,17453,177477,194930,4.5
12021,Collier County,,FL,20854,295926,316780,4.9
12023,Columbia County,,FL,4082,56342,60424,4.7
12027,DeSoto County,,FL,2231,26819,29050,5.7
12029,Dixie County,,FL,1089,12079,13168,5.1
12031,Duval County,,FL,67078,893009,960087,5.3
12033,Escambia County,,FL,30345,310145,340490,4.9
12035,Flagler County,,FL,5035,72819,77854,5.6
12037,Franklin County,,FL,711,9569,10280,4.4
12039,Gadsden County,,FL,2956,47666,50622,5.1
12041,Gilchrist County,,FL,1341,12984,14325,4.3
12043,Glades County,,FL,1177,10444,11621,5.5
12045,Gulf County,,FL,952,11759,12711,4.7
12047,Hamilton County,,FL,1011,11461,12472,5.4
12049,Hardee County,,FL,1880,23082,24962,6.6
12051,Hendry County,,FL,2995,33566,36561,8.4
12053,Hernando County,,FL,9726,147372,157098,6.3
12055,Highlands County,,FL,5401,85531,90932,5.6
12057,Hillsborough County,,FL,79654,1159615,1239269,5.1
12059,Holmes County,,FL,1456,19037,20493,4.8
12061,Indian River County,,FL,7743,131004,138747,6.8
12063,Jackson County,,FL,2725,43471,46196,4.2
12065,Jefferson County,,FL,1203,14154,15357,4.3
12067,Lafayette County,,FL,389,4439,4828,4.1
12069,Lake County,,FL,20538,264655,285193,5.2
12071,Lee County,,FL,29726,519969,549695,4.6
12073,Leon County,,FL,21819,239525,261344,4.1
12075,Levy County,,FL,2873,34812,37685,5.3
12077,Liberty County,,FL,469,5672,6141,3.7
12079,Madison County,,FL,940,17211,18151,5.0
12081,Manatee County,,FL,22003,303129,325132,4.7
12083,Marion County,,FL,16594,289370,305964,5.4
12085,Martin County,,FL,13279,151796,165075,5.4
12086,Miami-Dade County,,FL,116890,2455604,2572494,5.9
12087,Monroe County,,FL,10865,80672,91537,3.3
12089,Nassau County,,FL,5243,70024,75267,4.8
12091,Okaloosa County,,FL,20414,199916,220330,3.7
12093,Okeechobee County,,FL,2288,31003,33291,6.6
12095,Orange County,,FL,98256,1033441,1131697,5.1
12097,Osceola County,,FL,24572,211126,235698,5.4
12099,Palm Beach County,,FL,72741,1287593,1360334,5.7
12101,Pasco County,,FL,28745,380259,409004,5.6
12103,Pinellas County,,FL,63874,983340,1047214,5.3
12105,Polk County,,FL,30008,533134,563142,5.5
12107,Putnam County,,FL,4282,68635,72917,5.6
12109,St. Johns County,,FL,12718,153095,165813,4.2
12111,St. Lucie County,,FL,15100,221057,236157,6.6
12113,Santa Rosa County,,FL,12972,134551,147523,4.6
12115,Sarasota County,,FL,25773,368050,393823,4.6
12117,Seminole County,,FL,46927,412178,459105,5.1
12119,Sumter County,,FL,3776,50708,54484,5.2
12121,Suwannee County,,FL,2552,35482,38034,4.6
12123,Taylor County,,FL,1026,19154,20180,6.6
12125,Union County,,FL,996,10221,11217,3.7
12127,Volusia County,,FL,29827,480883,510710,5.2
12129,Wakulla County,,FL,1781,23967,25748,4.1
12131,Walton County,,FL,3738,39182,42920,3.8
12133,Washington County,,FL,1542,19033,20575,5.3
13001,Appling County,,GA,1000,18591,19591,6.6
13003,Atkinson County,,GA,602,7954,8556,5.9
13005,Bacon County,,GA,657,10541,11198,5.3
13007,Baker County,,GA,379,3961,4340,4.8
13009,Baldwin County,,GA,2793,43565,46358,4.6
13011,Banks County,,GA,1810,17644,19454,3.8
13013,Barrow County,,GA,4980,54446,59426,4.7
13015,Bartow County,,GA,7554,99890,107444,5.2
13017,Ben Hill County,,GA,1125,17897,19022,6.6
13019,Berrien County,,GA,1424,16807,18231,3.4
13021,Bibb County,,GA,10710,166008,176718,4.8
13023,Bleckley County,,GA,732,13500,14232,4.9
13025,Brantley County,,GA,1401,18139,19540,5.3
13027,Brooks County,,GA,2251,21018,23269,3.3
13029,Bryan County,,GA,3289,28112,31401,3.6
13031,Bulloch County,,GA,3778,47504,51282,4.1
13033,Burke County,,GA,1932,29611,31543,8.2
13035,Butts County,,GA,2149,23238,25387,5.1
13037,Calhoun County,,GA,395,5961,6356,6.4
13039,Camden County,,GA,6236,46194,52430,5.3
13043,Candler County,,GA,773,9132,9905,4.3
13045,Carroll County,,GA,7395,101915,109310,5.1
13047,Catoosa County,,GA,5049,59876,64925,3.3
13049,Charlton County,,GA,839,9054,9893,5.3
13051,Chatham County,,GA,18676,238986,257662,4.2
13053,Chattahoochee County,,GA,329,3104,3433,8.1
13055,Chattooga County,,GA,1337,26847,28184,4.3
13057,Cherokee County,,GA,16624,188784,205408,4.0
13059,Clarke County,,GA,11980,92360,104340,3.7
13061,Clay County,,GA,255,3224,3479,4.4
13063,Clayton County,,GA,36445,252819,289264,5.8
13065,Clinch County,,GA,355,6684,7039,5.8
13067,Cobb County,,GA,75146,681093,756239,4.4
13069,Coffee County,,GA,2153,36634,38787,6.9
13071,Colquitt County,,GA,1990,40909,42899,5.2
13073,Columbia County,,GA,10367,121548,131915,3.5
13075,Cook County,,GA,1270,17062,18332,5.2
13077,Coweta County,,GA,7908,107875,115783,4.5
13079,Crawford County,,GA,1077,13644,14721,4.7
13081,Crisp County,,GA,1411,22236,23647,5.6
13083,Dade County,,GA,1096,15805,16901,4.2
13085,Dawson County,,GA,1958,19088,21046,3.8
13087,Decatur County,,GA,1636,28517,30153,5.6
13089,DeKalb County,,GA,92258,661071,753329,5.4
13091,Dodge County,,GA,938,17441,18379,5.2
13093,Dooly County,,GA,939,12409,13348,5.9
13095,Dougherty County,,GA,7961,102836,110797,5.6
13097,Douglas County,,GA,11622,103821,115443,4.7
13099,Early County,,GA,764,12024,12788,5.6
13101,Echols County,,GA,245,2623,2868,3.0
13103,Effingham County,,GA,3000,43961,46961,3.9
13105,Elbert County,,GA,902,21426,22328,5.7
13107,Emanuel County,,GA,1184,22736,23920,4.9
13109,Evans County,,GA,897,10337,11234,4.1
13111,Fannin County,,GA,1131,21698,22829,6.2
13113,Fayette County,,GA,10180,108104,118284,3.6
13115,Floyd County,,GA,5558,95529,101087,4.6
13117,Forsyth County,,GA,10942,132965,143907,3.7
13119,Franklin County,,GA,1649,25193,26842,5.2
13121,Fulton County,,GA,107360,726744,834104,5.3
13123,Gilmer County,,GA,1557,25186,26743,4.2
13125,Glascock County,,GA,169,2635,2804,4.9
13127,Glynn County,,GA,5197,72340,77537,4.0
13129,Gordon County,,GA,3294,51023,54317,4.6
13131,Grady County,,GA,1613,23317,24930,4.5
13133,Greene County,,GA,1069,16573,17642,6.3
13135,Gwinnett County,,GA,63817,698991,762808,4.4
13137,Habersham County,,GA,2481,37590,40071,3.9
13139,Hall County,,GA,10622,156502,167124,4.0
13141,Hancock County,,GA,582,9312,9894,7.3
13143,Haralson County,,GA,1959,25926,27885,4.8
13145,Harris County,,GA,2415,31699,34114,3.6
13147,Hart County,,GA,1332,23696,25028,5.0
13149,Heard County,,GA,970,10344,11314,6.1
13151,Henry County,,GA,14185,163418,177603,4.3
13153,Houston County,,GA,10392,135850,146242,3.6
13155,Irwin County,,GA,867,9175,10042,5.9
13157,Jackson County,,GA,3990,44686,48676,4.5
13159,Jasper County,,GA,1312,14494,15806,5.1
13161,Jeff Davis County,,GA,834,13932,14766,7.5
13163,Jefferson County,,GA,952,19422,20374,8.1
13165,Jenkins County,,GA,469,7998,8467,6.1
13167,Johnson County,,GA,490,8734,9224,6.9
13169,Jones County,,GA,1891,25002,26893,3.9
13171,Lamar County,,GA,1482,17125,18607,5.2
13173,Lanier County,,GA,793,6722,7515,3.5
13175,Laurens County,,GA,2340,49663,52003,5.9
13177,Lee County,,GA,2352,22289,24641,3.4
13179,Liberty County,,GA,11345,58452,69797,5.1
13181,Lincoln County,,GA,526,8743,9269,7.3
13183,Long County,,GA,1341,7211,8552,3.6
13185,Lowndes County,,GA,8310,84857,93167,3.5
13187,Lumpkin County,,GA,2143,20555,22698,4.1
13189,McDuffie County,,GA,1374,23212,24586,6.2
13191,McIntosh County,,GA,746,10842,11588,4.3
13193,Macon County,,GA,755,11324,12079,7.7
13195,Madison County,,GA,2111,26803,28914,3.9
13197,Marion County,,GA,539,6493,7032,5.5
13199,Meriwether County,,GA,1765,23418,25183,6.3
13201,Miller County,,GA,441,5404,5845,4.9
13205,Mitchell County,,GA,1401,22198,23599,5.5
13207,Monroe County,,GA,1675,21052,22727,4.0
13209,Montgomery County,,GA,706,9455,10161,5.7
13211,Morgan County,,GA,1235,17276,18511,4.2
13213,Murray County,,GA,2984,37900,40884,4.1
13215,Muscogee County,,GA,21133,199703,220836,5.3
13217,Newton County,,GA,6454,80274,86728,5.2
13219,Oconee County,,GA,2169,21923,24092,2.8
13221,Oglethorpe County,,GA,956,13227,14183,4.0
13223,Paulding County,,GA,8443,95838,104281,4.1
13225,Peach County,,GA,2135,22061,24196,5.7
13227,Pickens County,,GA,1852,26845,28697,4.3
13229,Pierce County,,GA,1187,16233,17420,4.3
13231,Pike County,,GA,1355,17596,18951,5.1
13233,Polk County,,GA,2141,37150,39291,4.6
13235,Pulaski County,,GA,604,9489,10093,4.3
13237,Putnam County,,GA,1453,19500,20953,4.4
13239,Quitman County,,GA,249,2284,2533,5.1
13241,Rabun County,,GA,919,15847,16766,3.6
13243,Randolph County,,GA,390,7505,7895,7.4
13245,Richmond County,,GA,19549,184216,203765,5.4
13247,Rockdale County,,GA,9707,73197,82904,4.9
13249,Schley County,,GA,324,3917,4241,5.5
13251,Screven County,,GA,764,14955,15719,5.4
13253,Seminole County,,GA,677,9358,10035,5.3
